[15:13:59] [xaniagency] robots.txt loaded (5 lines)
[15:13:59] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-1.xml: 2000 URLs (cumulative at this node)
[15:13:59] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-2.xml: 2000 URLs (cumulative at this node)
[15:14:00] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-3.xml: 2000 URLs (cumulative at this node)
[15:14:00] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-4.xml: 2000 URLs (cumulative at this node)
[15:14:00] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-5.xml: 2000 URLs (cumulative at this node)
[15:14:00] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-6.xml: 2000 URLs (cumulative at this node)
[15:14:00] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-7.xml: 2000 URLs (cumulative at this node)
[15:14:01] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-8.xml: 2000 URLs (cumulative at this node)
[15:14:01] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-9.xml: 2000 URLs (cumulative at this node)
[15:14:01] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-post-10.xml: 621 URLs (cumulative at this node)
[15:14:01] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-page-1.xml: 12 URLs (cumulative at this node)
[15:14:01] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-posts-playlist-1.xml: 1 URLs (cumulative at this node)
[15:14:01] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-taxonomies-category-1.xml: 38 URLs (cumulative at this node)
[15:14:02] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-taxonomies-post_tag-1.xml: 23 URLs (cumulative at this node)
[15:14:02] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-taxonomies-post_format-1.xml: 2 URLs (cumulative at this node)
[15:14:02] [xaniagency] sitemap https://xaniagency.com/wp-sitemap-users-1.xml: 10 URLs (cumulative at this node)
[15:14:02] [xaniagency] sitemap https://xaniagency.com/wp-sitemap.xml: 18707 URLs (cumulative at this node)
[15:14:02] [xaniagency] sitemaps yielded 18707 URLs total
[15:15:01] [xaniagency] 100 pages, 0 docs, queue=18703+0
[15:16:00] [xaniagency] 200 pages, 0 docs, queue=18703+0
[15:16:59] [xaniagency] 300 pages, 0 docs, queue=18701+0
[15:17:57] [xaniagency] 400 pages, 0 docs, queue=18699+0
[15:18:56] [xaniagency] 500 pages, 0 docs, queue=18696+0
[15:19:57] [xaniagency] 600 pages, 0 docs, queue=18693+0
[15:20:59] [xaniagency] 700 pages, 0 docs, queue=18693+0
[15:22:16] [xaniagency] 800 pages, 0 docs, queue=18691+0
[15:23:17] [xaniagency] 900 pages, 0 docs, queue=18691+0
[15:24:17] [xaniagency] 1000 pages, 0 docs, queue=18691+0
[15:25:19] [xaniagency] 1100 pages, 0 docs, queue=18690+0
[15:26:18] [xaniagency] 1200 pages, 0 docs, queue=18689+0
[15:27:17] [xaniagency] 1300 pages, 0 docs, queue=18689+0
[15:28:17] [xaniagency] 1400 pages, 0 docs, queue=18689+0
[15:29:24] [xaniagency] 1500 pages, 0 docs, queue=18689+0
[15:30:50] [xaniagency] 1600 pages, 0 docs, queue=18689+0
[15:32:17] [xaniagency] 1700 pages, 0 docs, queue=18689+0
[15:33:42] [xaniagency] 1800 pages, 0 docs, queue=18689+0
[15:35:08] [xaniagency] 1900 pages, 0 docs, queue=18688+0
[15:36:34] [xaniagency] 2000 pages, 0 docs, queue=18688+0
[15:37:58] [xaniagency] 2100 pages, 0 docs, queue=18688+0
[15:39:25] [xaniagency] 2200 pages, 0 docs, queue=18688+0
[15:40:52] [xaniagency] 2300 pages, 0 docs, queue=18688+0
[15:42:19] [xaniagency] 2400 pages, 0 docs, queue=18687+0
[15:43:46] [xaniagency] 2500 pages, 0 docs, queue=18687+0
[15:45:15] [xaniagency] 2600 pages, 0 docs, queue=18686+0
[15:46:44] [xaniagency] 2700 pages, 0 docs, queue=18685+0
[15:48:10] [xaniagency] 2800 pages, 0 docs, queue=18685+0
[15:49:39] [xaniagency] 2900 pages, 0 docs, queue=18685+0
[15:51:13] [xaniagency] 3000 pages, 0 docs, queue=18685+0
[15:52:41] [xaniagency] 3100 pages, 0 docs, queue=18685+0
[15:54:10] [xaniagency] 3200 pages, 0 docs, queue=18685+0
[15:55:35] [xaniagency] 3300 pages, 0 docs, queue=18683+0
[15:57:01] [xaniagency] 3400 pages, 0 docs, queue=18683+0
[15:58:24] [xaniagency] 3500 pages, 0 docs, queue=18682+0
[15:59:49] [xaniagency] 3600 pages, 0 docs, queue=18682+0
