                                  پێرست

ز	                                               بابه‌ت   	  به‌رپه‌ڕ
1	پێشه‌كى	1-6   
2	ده‌رازینك:(رڤشت و سه‌رهلدانا زانستێ ناڤونیشانكرنێ)	7-42
3	ئێك: رڤشتێ زانستێ ناڤونیشانكرنێ	8-30
4	1- په‌یدابوونا زانستێ سیمیوتیكى	8-11
5	أ - سیمیوتیكا(Semiotics) ژ لایێ زاراڤى ڤه‌	8
6	ب- سه‌رهلدانا ڤى زانستى	9-11
7	2- سیمیوتیكا دناڤبه‌را تیورا (سوسێر)ى و(پیرس)ى دا	11-13
8	3- سیمیوتیكا (تێگه‌ه و پێناسه‌)	13-16
9	4- سیمیوتیكا و تێكست	16-21
10	5- ره‌هه‌ندێن نیشانا سیمیوتیكى	21-30
11	دو:سه‌رهلدانا زانستێ ناڤونیشانكرنێ	31-42
12	1- سه‌رهلدانا زانستێ ناڤونیشانكرنێ دناڤ ره‌خنا ئه‌ورپى دا	31-34
13	2- سه‌رهلدانا زانستێ ناڤونیشانكرنێ دناڤ ره‌خنا عه‌ره‌بى دا	34-38
14	3-  سه‌رهلدانا زانستێ ناڤونیشانكرنێ دناڤ ره‌خنا كوردى دا	38-42
15	پشكا ئێكێ:(تیورا ناڤونیشانى وه‌كو میتوده‌كا ره‌خنه‌یى)	43-103
16	1-1- زاراڤێ ناڤونیشانى(title) و ره‌هه‌ندێن وى	44-47
17	1-2- ناسنامه‌بوونا تێكستى دناڤبه‌را ناڤونیشانكرن و ناڤكرنێ دا	48-58
18	1-3- پێناسه‌یێن ناڤونیشانى(title)	59-65
19	1-4- جۆرێن ناڤونیشانى(type)	66-73
ز	                            بابه‌ت   	  به‌رپه‌ڕ
20	1-4-1- ناڤونیشانێ سه‌ره‌كى:(Le titre principale)	67
21	1-4-2- ناڤونیشانێ  تایى:(soustitre)	67-68
22	1-4-3- ناڤونیشانێ ده‌ستنیشانكه‌رێ ژانڕى: (dicationênêrique)	69
23	1-4-4- ناڤونیشانێ ناڤه‌كى	70-73
24	1-5- ئه‌ركێن ناڤونیشانى	74
25	1-6- بنیاتێن ناڤونیشانى	86-103
26	ئێك - بنیاتێ كویر	97-101
27	دو- بنیاتێ سه‌رڤه‌	101-103
28	پشكا دوێ : (فه‌لسه‌فا ناڤونیشانى د جه و په‌یوه‌ندیێن ویدا)	104-134
29	2-1- جهێ ناڤونیشانى دناڤ فره‌تێكستیێ دا (transtextualitè) 	105-113
30	2-1-1- هه‌ڤتێكستى:(التناص-entertextualité)	108
31	2-1-2- تێكستێ هه‌ڤته‌ریب:(النص الموازی-Paratexte)	108-111
32	2-1-2-1- تێكستێ هه‌ڤته‌ریبێ ناڤه‌كى:(péritexte)	109-110
33	2-1-2-2- تێكستێ هه‌ڤته‌ریبێ ده‌ره‌كى:(Epitexte)	110-111
34	2-1-3- میتا تێكست:(الماورائیه‌ النصیه‌-metatextualité)	111-112
35	2-1-4- هیپه‌رتێكست:(النص اللاحق-hypertexte)	112
36	2-1-5- ئارچیتێكست:(الجامعیه‌ النصیه‌-architetualité)	112-113
37	2-2- دیاردا هه‌ڤتێكستیێ دناڤ ناڤونیشانى دا	114-121
38	2-2-1-هه‌ڤتێكستیا راسته‌وخو	118
39	2-2-2-هه‌ڤتێكستیا نه‌راسته‌وخو	118
40	2-3- په‌یوه‌ند یا ناڤونیشانى ب(نڤێسه‌ر، تێكست،وه‌رگر)ـیڤه‌	122-134
ز	                            بابه‌ت   	  به‌رپه‌ڕ
41	2-3-1- په‌یوه‌ندیا ناڤونیشانى ب نڤێسه‌ریڤه‌	122-127
42	2-3-2- په‌یوه‌ندیا ناڤونیشانى ب تێكستى ڤه‌	128-134
43	2-3-2-1- په‌یوه‌ندیا درێژیپێدانێ یان ژێككێشانێ	128-129
44	2-3-2-2- په‌یوه‌ندیا ڤه‌په‌قژین	130-131
45	2-3-3- په‌یوه‌ندیا ناڤونیشانى ب وه‌رگریڤه‌	131-134
46	پشكا سیێ:(پراكتیزه‌كرنا زانستێ ناڤونیشانكرنێ لسه‌ر دیوانێن هه‌لبژارتى)	135-232
47	3-1:دیوانا:( به‌فرا ل ڤێرێ)	136-182
48	ئێك:بنیاتێ كویرێ ناڤونیشانێ گشتیێ دیوانێ	136-139
49	دو:بنیاتێ سه‌رڤه‌یێ ناڤونیشانێ گشتیێ دیوانێ	139-182
50	3-1-1:ناڤونیشانێن ناڤه‌كیێن هه‌ر هۆزانه‌كێ	139-180
51	3-1-1-1:هۆزانا: .به‌فرا ل ڤێرێ	139-144
52	3-1-1-2:هۆزانا: ((هه‌ڤرست و ماشوت))	144-146
53	3-1-1-3:هۆزانا: - لته‌دگه‌رهام-:	146-148
54	3-1-1-4:هۆزانا:ما دێ زانى چما جانێ؟	148-151
55	3-1-1-5:هۆزانا:من چه‌ند تو دڤێ ى ؟	151-152
56	3-1-1-6:هۆزانا:((خه‌ریبم..خه‌ریب))	152-153
57	3-1-1-7:هۆزانا:((ره‌وینا سا..مزگینى یه‌))	153-156
58	3-1-1-8:هۆزانا:((وه‌ڵاتێ من))	156-157
59	3-1-1-9:هۆزانا:((خه‌ونه‌ك))	157-160
60	3-1-2-1-10:هۆزانا:((سڤوره‌ و دارمێو..به‌روى))	160-162
61	3-1-1-11:هۆزانا:((هنده‌ك شه‌ڤا))	163-165
ز	                            بابه‌ت   	  به‌رپه‌ڕ
62	3-1-1-12:هۆزانا:((ب ڤیانا ته‌ سه‌رخوش دبم))	165-166
63	3-1-1-13:هۆزانا:((گه‌رم و سه‌رما))	166-167
64	3-2-1-14:هۆزانا:بیرهاتنێت زارۆكینى یى و ئه‌ڤرۆكه‌	167-169
65	3-1-1-15:هۆزانا:((كورته‌ به‌رسڤ))	169-171
66	3-1-1-16:هۆزانا:((خودانێت مرییا دكوره‌نه‌))	171-173
67	3-1-1-17:هۆزانا:((حه‌تا كه‌نگى ؟))	173-174
68	3-1-1-18:هۆزانا:((ڕه‌ڤه‌ند و خه‌م و كویڤى)):	174-177
69	3-1-1-19:هۆزانا:((تنێ ئه‌زمانه‌ بو من ماى !))	177-179
70	3-1-1-20:هۆزانا:((سڤك وه‌ره‌))	179-180
71	3-1-2-:به‌رگێ پێشیێ ژ دیوانێ	180-181
72	3-1-3:تێكستێ دیارییا دیوانێ	181-182
73	3-2:دیوانا:( ئه‌و رویبارێ ژ خوارنا له‌شێ خو تێر نه‌بیت)	183-200
74	ئێك:بنیاتێ كویرێ ناڤونیشانێ گشتیێ دیوانێ	183-184
75	دو:بنیاتێ سه‌رڤه‌یێ ناڤونیشانێ گشتیێ دیوانێ	184-200
76	3-2-1:ناڤونیشانێن ناڤه‌كیێن هه‌ر هۆزانه‌كێ	184-199
77	3-2-1-1:هۆزانا: گرى لسه‌ر مریه‌كێ هێشتا نه‌بوى	184-189
78	3-2-1-2:هۆزانا:سه‌رچه‌قێن سترانه‌كا هوڤا	189-191
79	3-2-1-3:هۆزانا:ڤسته‌ڤالا تاریێ	191-193
80	3-2-1-4:هۆزانا:پیانوی كه‌چا پیرێ ا	194-195
81	3-2-1-5:هۆزانا:من دگه‌ل خو نه‌به‌	196-197
82	3-2-1-6:هۆزانا:هه‌لچونا خوینێ	197-199
ز	                            بابه‌ت   	  به‌رپه‌ڕ
83	3-2-2:به‌رگێ پێشیێ ژ دیوانێ	199-200
84	3-2-3: تێكستێ دیارییا دیوانێ	200
85	3-3-دیوانا: :(دره‌وه‌ك ل چه‌پا سه‌رى یا قاسیونى)	201-232
86	ئێك:بنیاتێ كویرێ ناڤونیشانێ گشتیێ دیوانێ	202-203
87	دو:بنیاتێ سه‌رڤه‌یێ ناڤونیشانێ گشتیێ دیوانێ	203-232
88	3-3-1:ناڤونیشانێن ناڤه‌كیێن هه‌ر هۆزانه‌كێ	203-230
89	3-3-1-1:هۆزانا: دروه‌ك ل چه‌پا سه‌رى یا قاسیونى	203-211
90	3-3-1-2:هۆزانا: سه‌ر هاتیه‌كا پیر	211-214
91	3-3-1-3:هۆزانا: لئێڤاریا نو بارینێ	214-216
92	3-3-1-4:هۆزانا: خاپاندن	216-218
93	3-3-1-5:هۆزانا:سێداره‌	218-220
94	3-3-1-6:هۆزانا:هه‌ر وه‌كو ژنوى ئه‌ز پێ دحه‌سیێم	220-222
95	3-3-1-7:هۆزانا:خه‌ونێن پیره‌كى	222-226
96	3-3-1-8:هۆزانا:لخو گه‌ریان سێرانه‌كا تاله‌	226-227
97	3-3-1-9:هۆزانا:گه‌له‌ك ڤیان	227-229
98	3-3-1-10:هۆزانا:دالغێن قه‌ره‌چه‌كێ	229-230
99	3-3-2:به‌رگێ پێشیێ ژ دیوانێ	230-231
100	3-3-3: تێكستێ دیارییا دیوانێ	231-232
101	ئه‌نجام	233-237
102	پاشكو	238-240
103	ئێك: به‌رگێ پێشیێ ژ دیوانا(به‌فرا ل ڤێرێ)	238
ز	                            بابه‌ت   	  به‌رپه‌ڕ
104	دو: به‌رگێ پێشیێ ژ دیوانا(ئه‌و رویبارێ ژ خوارنا له‌شێ خو تێر نه‌بیت)	239
105	سێ:به‌رگێ پێشیێ ژ دیوانا(دره‌وه‌ك لچه‌پا سه‌رییا قاسیونى)	240
106	فه‌رهه‌نگوك	241-251
107	چوار:لیستا هێلكاریان	.....
108	1-هێلكاریێ ژماره‌ (1): سه‌متێن سیمیوتیكایێ	16
109	2-هێلكاریێ ژماره‌ (2):تێكست= په‌یامه‌كه‌؛رامانه‌كا ته‌واو هه‌لدگریت	19
110	3-هێلكاریێ ژماره‌(3):نیشان دبیته‌ پشكه‌ك ژ ته‌وه‌رێ به‌رده‌وامیبوونا	22
