                                             فه‌رهه‌نگوك

ژ	              زمانێ كوردى	                  زمانێ عه‌ره‌بى
1	ئارچیتێكست« architexte»	معماریه‌ النص- الجامعیه‌ النصیه‌
2	ئازراندن	إپاره‌
3	ئافراندن	خلق
4	ئالۆز	معقّد
5	ئالاڤ	أداه‌
6	ئاماژه‌	إشاره‌
7	ئاماژه‌كا پێكگه‌هه‌شتنێ	إشاره‌ تواصلیه‌
8	ئایكون	أیقونه‌
9	ئه‌پستمولۆژى	معرفی
10	ئه‌دگار- تایبه‌تمه‌ندى- ساخله‌ت	خصائص
11	ئه‌ركێ ئاماژه‌یى	الوڤیفه‌ الإیحائیه‌
12	ئه‌ركێ ده‌ستنیشانكرنێ	وڤیفه‌ التعین
13	ئه‌ركێ سالۆخدانێ	الوڤیفه‌ الوصفیه‌
14	ئه‌ركێ سه‌ره‌نجڕاكێشانێ	الوڤیفه‌ الإغرائیه‌
15	ئه‌ركێ مه‌به‌ستى	الوڤیفه‌ القصدیه‌
16	ئه‌ركێن بژاره‌	وڤائف مُمیّزه‌
17	ئه‌ركێن ناڤونیشانى	وڤائف العنوان
18	ئه‌گه‌ر	سبب
19	ئه‌كتیڤ	فعّال
20	ئه‌له‌مینت	عنصر
21	ئه‌له‌مینته‌كێ ره‌وا	عنصر شرعی



ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
22	ئیندێكس	دلیل
23	باوه‌ر	معتقد
24	به‌رۆڤاژى	عكس
25	به‌رجه‌سته‌كرن	تجسید
26	به‌رژه‌نگ	ملامح
27	به‌رسینگگرتن	مواجهه‌
28	به‌رفره‌ه	واسع
29	به‌رفرهه‌كرن	توسیع
30	به‌ركار	رَدْ فعلْ
31	به‌ركارى	إنفِعالی
32	به‌گراوه‌ند	خَلفیّه‌
33	بژاره‌	مُمێزْ
34	بنه‌ڕه‌ت	أساس
35	بنه‌ڕه‌تى	أساسی- مرجَعی
36	بنیات- نژیار	البُنیه‌
37	بنیاتێ سه‌رڤه‌	البُنیه‌ السگحیه‌
38	بنیاتێ كویر	البُنیه‌ العَمیقه‌
39	بنیاتێ ناڤونیشانى	بُنیه‌ العنوان
40	بها	قیمه‌
41	بهویرى	بِدقه‌
42	بوویه‌ر	حادپْ
43	بیاڤ	مَجال
44	پۆلینكرن	تصنیف

ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
45	په‌خشكه‌ر	الباپْ
46	په‌خشكرن	بَپْ
47	په‌یام	ڕساله‌
48	په‌یڤا هه‌ڤهاتى	الكَلِمه‌ الداخله‌
49	په‌یوه‌ندیا درێژیپێدانێ یان ژێككێشانێ	العلاقه‌ الإمتدادیه‌
50	په‌یوه‌ندیا ڤه‌په‌قژین	العلاقه‌ الإرتدادیه‌
51	پراگماتى	تَداولیه‌
52	پڕاكتیزه‌كرن	تگبیق
53	پرت	جُز‌وْ
54	پرتبوون	تَجزِئه‌
55	پڕنسیپێن نویێن ناڤونیشانكرنێ	المباد‌و الجدیده‌ للعنونه‌
56	پروبله‌ماتیك( Problematic)	إشكالیه‌
57	پشتبه‌ستن	إعتمادْ
58	پشتگوه هاڤێتن	إهمال
59	پویته‌دان-گرنگیدان	إهتِمام
60	پێدڤیاتیێن ده‌ستپێكى	حاجات أوّلیه‌
62	پێڕابوون/ كریارێن جێبه‌جێكرنێ	إجرا‌وات
63	پێشبینیكرن	تَۆقُعات
64	پێشوه‌خت	إستِباقیه‌
65	پێڤاژو	مَسیره‌
66	پێكهاته‌	تَركیب
67	تۆك	مُعَلَّقه‌ 
68	ته‌رخانكرن	تَخصیص

